name	sentenceId	sentence	nextSentenceID	checkIfOption	option1	option2	option3	option1_sentenceID	option2_sentenceID	option3_sentenceID	checkIfEnd	checkIfAffection
Sister	43	I'm gonna whoop your ass next time you visit.	45	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	44	I thought I told you to quit that soul sucking job ages ago.	45	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	45	Look.	46	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	46	Listen to me.	47	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	47	"This is a once in a lifetime opportunity, try to relax and most importantly"	48	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	48	BE YOURSELF.	49	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	49	"You're a good person, I'm sure there'll be someone on there who sees that."	50	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	50	. . . 	51	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	51	Thank you?	52	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	52	I'll update you if I can on the starcruiser.	53	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	53	You better.	54	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	54	"Also one last word of advice,"	55	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	55	I don't know what sentient-species are going to be on The Matchmaker this season	56	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	56	"But it can't be as bad as what happened on The Pleasure Cruiser, 5 seasons ago."	57	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	57	I don't even want to know what happened.	58	FALSE	-	-	-	-	-	-	FALSE	FALSE
 	58	A chill goes down your spine imagining what could've happened	59	FALSE	-	-	-	-	-	-	FALSE	FALSE
Player	59	"I've gotta go now, bye."	60	FALSE	-	-	-	-	-	-	FALSE	FALSE
Sister	60	"Yeah, get lost, get going, GOOO."	-	FALSE	-	-	-	-	-	-	TRUE	FALSE
